"","V1"
"hTERT_TP1_A",32348259
"hTERT_TP1_B",53551559
"hTERT_TP1_C",37145886
"hTERT_TP2_A",45473553
"hTERT_TP2_B",47174523
"hTERT_TP2_C",43361732
"hTERT_TP4_A",63834730
"hTERT_TP4_B",71410371
"hTERT_TP4_C",65671430
"hTERT_TP5_A",25320602
"hTERT_TP5_B",33790736
"hTERT_TP5_C",29011641
"hTERT_TP6_A",25569228
"hTERT_TP6_B",35637055
"hTERT_TP6_C",22313281
"hTERT_TP7_A",44007410
"hTERT_TP7_B",50931323
"hTERT_TP7_C",57085
"PDL_TP1_A",46141250
"PDL_TP1_B",48752552
"PDL_TP1_C",46404307
"PDL_TP2_A",39925231
"PDL_TP2_B",46188835
"PDL_TP2_C",48197928
"PDL_TP3_A",43070130
"PDL_TP3_B",47713183
"PDL_TP3_C",48805854
"PDL_TP4_A",32113348
"PDL_TP4_B",40289570
"PDL_TP4_C",39503606
"PDL_TP5_A",15742766
"PDL_TP5_B",20164802
"PDL_TP5_C",14853321
"PDL_TP6_A",22711627
"PDL_TP6_B",28794207
"PDL_TP6_C",30698855
"PDL_TP7_A",20742771
"PDL_TP7_B",15847136
"PDL_TP7_C",24725
